순번,정산ID,고유번호(ARS),정류장명,시도명,시군구명,읍면동명,경도(십진수 도_분) 표기,위도(십진수 도_분) 표기
2398,8007102,46110,싸이언스빌3가,대전광역시,유성구,전민동,127°24.3202'E,36°23.0990'N
2399,8007103,46090,유성구청소년수련관,대전광역시,유성구,온천2동,127°19.4103'E,36°22.8582'N
2400,8007115,73990,홈플러스계룡점,충청남도,계룡시,금암동,127°15.5072'E,36°16.4815'N
2401,8007116,73290,홈플러스계룡점,충청남도,계룡시,금암동,127°15.5067'E,36°16.4650'N
2402,8007154,23510,중촌동과선교,대전광역시,중구,중촌동,127°24.5414'E,36°20.5730'N
2403,8007155,46120,도로교통공단,대전광역시,유성구,원신흥동,127°20.0818'E,36°19.9444'N
2404,8007156,46130,도로교통공단,대전광역시,유성구,진잠동,127°20.0706'E,36°19.9256'N
2405,8007157,22740,오월드기점지,대전광역시,중구,산성동,127°23.9695'E,36°17.5649'N
2406,8007158,14410,바깥아감,대전광역시,동구,대청동,127°29.9076'E,36°21.1235'N
2407,8007159,14420,세천공원,대전광역시,동구,판암1동,127°28.8783'E,36°19.8401'N
2408,8007160,14430,세천공원,대전광역시,동구,대청동,127°28.8799'E,36°19.8510'N
2409,8007161,46160,꿈에그린아파트,대전광역시,유성구,노은1동,127°18.1801'E,36°23.3005'N
2410,8007162,46170,꿈에그린아파트,대전광역시,유성구,노은1동,127°18.1955'E,36°23.2732'N
2411,8007163,46180,해랑숲마을5단지,대전광역시,유성구,노은1동,127°18.2677'E,36°23.1589'N
2412,8007164,46190,해랑숲마을5단지,대전광역시,유성구,노은1동,127°18.2527'E,36°23.1632'N
2413,8007165,46200,해랑숲마을6단지,대전광역시,유성구,노은1동,127°18.5035'E,36°23.1827'N
2414,8007166,46210,계룡리슈빌아파트,대전광역시,유성구,노은1동,127°18.5139'E,36°23.1370'N
2415,8007167,46220,새미래중학교,대전광역시,유성구,노은1동,127°18.3535'E,36°22.7428'N
2416,8007168,46230,새미래중학교,대전광역시,유성구,노은1동,127°18.3630'E,36°22.7449'N
2417,8007169,46240,오토월드,대전광역시,유성구,온천1동,127°19.2740'E,36°20.5555'N
2418,8007170,14440,감나무골입구,대전광역시,동구,산내동,127°27.4532'E,36°16.9217'N
2419,8007171,14450,감나무골입구,대전광역시,동구,산내동,127°27.4624'E,36°16.9269'N
2420,8007172,51590,비래동종점,대전광역시,대덕구,비래동,127°27.0122'E,36°21.6527'N
2421,8007173,12670,대전동신과학고,대전광역시,동구,대청동,127°28.5772'E,36°19.9191'N
2422,8007174,53250,신대차고지,대전광역시,대덕구,회덕동,127°25.3040'E,36°24.5244'N
2423,8007175,53260,들말,대전광역시,대덕구,회덕동,127°25.4432'E,36°24.6636'N
2424,8007176,53270,들말,대전광역시,대덕구,회덕동,127°25.4465'E,36°24.6702'N
2425,8007177,33270,대전에너지사업단,대전광역시,유성구,원신흥동,127°20.8185'E,36°19.9438'N
2426,8007178,33260,대전에너지사업단,대전광역시,서구,가수원동,127°20.8096'E,36°19.9157'N
2427,8007179,14460,효평고개소공원,대전광역시,동구,대청동,127°28.5504'E,36°23.5607'N
2428,8007180,14470,효평고개소공원,대전광역시,동구,대청동,127°28.5488'E,36°23.5528'N
2429,8007181,46260,에이팩,대전광역시,유성구,신성동,127°22.5548'E,36°24.2394'N
2430,8007182,46270,에이팩,대전광역시,유성구,신성동,127°22.6014'E,36°24.2816'N
2431,8007183,35050,한국전력공사,대전광역시,서구,변동,127°22.3351'E,36°19.6290'N
2432,8007184,45650,예미지7단지,대전광역시,유성구,온천1동,127°20.8731'E,36°20.8821'N
2433,8007185,14510,지푸재,대전광역시,동구,산내동,127°27.0716'E,36°16.2380'N
2434,8007186,14500,지푸재,대전광역시,동구,산내동,127°27.0779'E,36°16.2318'N
2435,8007187,53280,장동주민문화센터,대전광역시,대덕구,회덕동,127°26.4634'E,36°24.7597'N
2436,8007188,53290,장동주민문화센터,대전광역시,대덕구,회덕동,127°26.4682'E,36°24.7576'N
2437,8007189,46280,용산고등학교,대전광역시,유성구,관평동,127°23.8341'E,36°25.3329'N
2438,8007190,35060,반송마을입구,대전광역시,서구,기성동,127°17.2450'E,36°14.0676'N
2439,8007191,35070,반송마을입구,대전광역시,서구,기성동,127°17.2483'E,36°14.0694'N
2440,8007192,72360,부엉골교,충청남도,논산시,벌곡면,127°16.8852'E,36°11.8882'N
2441,8007193,72370,부엉골교,충청남도,논산시,벌곡면,127°16.8854'E,36°11.8955'N
2442,8007194,62420,남송타운,충청북도,옥천군,군북면,127°31.6122'E,36°21.6275'N
2443,8007208,46290,에코힐7단지,대전광역시,유성구,노은1동,127°18.3551'E,36°22.9214'N
2444,8007209,46300,트리풀시티포레1단지,대전광역시,유성구,노은1동,127°18.3670'E,36°22.8703'N
2445,8007210,53310,지수체육공원입구,대전광역시,대덕구,목상동,127°24.7334'E,36°25.7985'N
2446,8007211,53320,회덕과선교,대전광역시,대덕구,회덕동,127°25.4616'E,36°24.2403'N
2447,8007212,53330,회덕과선교,대전광역시,대덕구,회덕동,127°25.4549'E,36°24.2548'N
2448,8007213,74780,중부대입구,충청남도,금산군,추부면,127°27.3401'E,36°11.6155'N
2449,8007214,74760,중부대입구,충청남도,금산군,추부면,127°27.4510'E,36°11.6474'N
2450,8007215,23580,침산교/점말,대전광역시,중구,산성동,127°23.8368'E,36°16.5822'N
2451,8007216,23590,침산교/점말,대전광역시,중구,산성동,127°23.8443'E,36°16.5804'N
2452,8007217,23600,침산동,대전광역시,중구,산성동,127°23.7757'E,36°16.4226'N
2453,8007218,23610,침산동,대전광역시,중구,산성동,127°23.7836'E,36°16.4178'N
2454,8007219,23620,금동,대전광역시,중구,산성동,127°25.6887'E,36°14.7454'N
2455,8007220,14540,삼성2동,대전광역시,동구,삼성동,127°24.9771'E,36°20.4019'N
2456,8007221,14550,현암시장,대전광역시,동구,삼성동,127°24.9801'E,36°20.5366'N
2457,8007222,82310,한텍,대전광역시,유성구,관평동,127°24.0694'E,36°25.3212'N
2458,8007223,82320,한텍,대전광역시,유성구,관평동,127°24.1074'E,36°25.3224'N
2459,8007224,82330,대전테크노파크,대전광역시,유성구,관평동,127°24.2602'E,36°25.2372'N
2460,8007225,82340,대전테크노파크,대전광역시,유성구,관평동,127°24.2726'E,36°25.2516'N
2461,8007226,82350,조은정밀,대전광역시,유성구,관평동,127°24.4096'E,36°24.9810'N
2462,8007227,82360,조은정밀,대전광역시,유성구,관평동,127°24.4239'E,36°24.9306'N
2463,8007228,82370,청벽산공원,대전광역시,유성구,관평동,127°24.4187'E,36°24.8016'N
2464,8007229,82470,학하중앙로,대전광역시,유성구,온천1동,127°18.4613'E,36°20.4534'N
2465,8007230,82450,미학아파트,대전광역시,유성구,온천1동,127°18.1879'E,36°20.5044'N
2466,8007231,82430,씨엔씨티에너지학하CES,대전광역시,유성구,온천1동,127°18.4783'E,36°20.6526'N
2467,8007232,82410,복용3통,대전광역시,유성구,온천1동,127°18.8072'E,36°20.6796'N
2468,8007233,82390,복용1통,대전광역시,유성구,온천1동,127°19.0550'E,36°20.5770'N
